week,rainfall_mm,dengue_cases
1,28.0,3195
2,51.6,3352
3,88.0,3125
4,22.7,3239
5,58.4,2480
6,36.4,3047
7,36.4,2873
8,40.2,2611
9,36.7,2777
10,16.6,2577
11,26.8,2332
12,31.1,2062
13,70.9,1809
14,63.2,1731
15,68.4,1609
16,70.4,1626
17,89.4,1687
18,47.1,1854
19,36.6,2177
20,71.9,2028
21,68.0,2168
22,95.2,1575
23,108.4,2308
24,27.4,2788
25,57.5,2789
26,26.8,3173
27,28.4,3348
28,53.2,3400
29,15.3,3584
30,44.3,3217
31,20.0,3392
32,11.7,2729
33,50.4,2956
34,31.3,2738
35,23.8,2389
36,29.9,2284
37,23.4,2546
38,20.7,2372
39,81.2,2171
40,62.6,2006
41,80.8,1927
42,143.9,1971
43,62.7,1805
44,102.5,1937
45,56.5,2399
46,143.0,2173
47,107.2,2583
48,84.5,2435
49,69.6,2793
50,68.0,2618
51,79.6,2680
52,49.0,2837
